Name,Latitude,Longitude
"['Deseret Hospital', 'Salt Lake City', 'Salt Lake County', 'Utah']",40.7776,-111.9311
"['Detroit', 'Wayne County', 'Michigan']",42.3834,-83.1024
"['Dixon', 'Lee County', 'Illinois']",41.8439,-89.4794
"['Doncaster', 'Yorkshire', 'England']",38.7882,-77.4496
"['Dover', 'Strafford County', 'New Hampshire']",43.1887,-70.8845
"['Downey', 'Bannock County', 'Idaho']",33.9379,-118.1311
"['Draper', 'Salt Lake and Utah Counties', 'Utah']",40.4957,-111.8605
"['Draper', 'Salt Lake and Utah Counties', 'Utah Territory']",40.4957,-111.8605
"['Dresden', 'Germany']",51.05,13.74
"['Dresden', 'Weakley County', 'Tennessee ']",51.05,13.74
"['Driard Hotel', 'Victoria', 'British Columbia', 'Canada']",48.4283,-123.3647
"['Dublin', 'Wayne County', 'Indiana']",40.622,-79.1552
"['Dukinfield', 'Cheshire', 'England']",41.5113,-72.9036
"['Dumbarton', 'Dunbartonshire', 'Scotland']",55.95,-4.5667
"['Dumfries', 'Dumfries and Galloway', 'Scotland']",55.07,-3.603
"['Dunham Town', 'Cheshire', 'England']",41.5113,-72.9036
"['Dunmore', 'Northwest Territories', 'Canada']",41.4152,-75.6072
"['Durango', 'La Plata County', 'Colorado']",-22.8378,-51.9728
"['Eagle Gate Monument', 'Salt Lake City', 'Salt Lake County', 'Utah']",40.7776,-111.9311
"['East Germantown', 'Wayne County', 'Indiana']",40.622,-79.1552
"['East River', 'New York']",40.6943,-73.9249
"['Eccles', 'Lancashire', 'England']",53.4824,-2.339
"['Economy', 'Beaver County', 'Pennsylvania']",40.6411,-80.1841
"['Eden', 'Weber County', 'Utah']",36.5027,-79.7412
"['Eden', 'Weber County', 'Utah Territory']",36.5027,-79.7412
"['Edgewood', 'Siskiyou County', 'California']",38.2969,-76.4949
"['Edinburgh', 'Edinburghshire', 'Scotland']",55.9533,-3.1892
"['El Dorado', 'Butler County', 'Kansas']",37.821,-96.8613
"['El Paso', 'El Paso County', 'Texas']",31.8476,-106.43
"['Elkhart', 'Elkhart County', 'Indiana']",40.622,-79.1552
"['Elmhurst', 'Lichfield', 'Staffordshire', 'England']",52.682,-1.829
"['Elmira', 'Chemung County', 'New York']",40.6943,-73.9249
"['Elton', 'Cheshire', 'England']",41.5113,-72.9036
"['Emporia', 'Lyon County', 'Kansas']",38.4028,-96.1932
"['Endowment House', 'Salt Lake City', 'Salt Lake County', 'Utah']",40.7776,-111.9311
"['Enfield', 'Hartford County', 'Connecticut']",41.9839,-72.5548
"['Ephraim', 'Conejos County', 'Colorado']",-22.8378,-51.9728
"['Erie', 'Erie County', 'Pennsylvania']",42.1167,-80.0733
"['Erie Canal', 'New York']",40.6943,-73.9249
"['Erskineville', 'Sydney', 'New South Wales', 'Australia']",22.4995,-81.1359
"['Escalante', 'Garfield County', 'Utah']",10.8333,123.5
"['Escalante', 'Garfield County', 'Utah Territory']",10.8333,123.5
"['Eskilstuna', 'Södermanland County', 'Sweden']",43.1791,-77.9406
"['Eugene Township', 'Vermillion County', 'Indiana']",40.622,-79.1552
"['Euxton', 'Lancashire', 'England']",53.662,-2.674
"['Evans', 'Erie County', 'New York']",40.6943,-73.9249
"['Evansville', 'Vanderburgh County', 'Indiana']",40.622,-79.1552
"['Fabius', 'Onondaga County', 'New York']",40.6943,-73.9249
"['Fair Haven', 'New Haven', 'New Haven County', 'Connecticut']",41.3113,-72.9246
"['Fairfield', 'Herkimer County', 'New York']",40.6943,-73.9249
"['Fairmount', 'Philadelphia', 'Pennsylvania']",40.0077,-75.1339
"['Fairport', 'Monroe County', 'New York']",40.6943,-73.9249
"['Fall River', 'Bristol County', 'Massachusetts']",41.7136,-71.1015
"['Farmington', 'Davis County', 'Utah']",40.9845,-111.9065
"['Farmington', 'Hartford County', 'Connecticut']",41.7288,-72.8407
"['Farmington Meadows', 'Farmington', 'Hartford County', 'Connecticut']",41.7288,-72.8407
"['Fayette', 'Seneca County', 'New York']",40.6943,-73.9249
"['Ferndale', 'Humboldt County', 'California']",38.2969,-76.4949
"['Fillmore', 'Millard County', 'Utah']",34.3989,-118.9174
"['Fillmore', 'Millard County', 'Utah Territory']",34.3989,-118.9174
"['Fire Island', 'Suffolk County', 'New York']",40.6943,-73.9249
"['Fishkill', 'Dutchess County', 'New York']",40.6943,-73.9249
"['Fishkill Landing', 'Dutchess County', 'New York']",40.6943,-73.9249
"['Fitchburg', 'Worcester County', 'Massachusetts']",42.5912,-71.8156
"['Fitzroy Square', 'London', 'Middlesex', 'England']",40.5744,-74.5011
"['Flagstaff', 'Yavapai County', 'Arizona Territory']",35.1872,-111.6194
"['Florence', 'Boone County', 'Kentucky']",38.9899,-84.6471
"['Florence', 'Fremont County', 'Colorado']",-22.8378,-51.9728
"['Florence', 'Italy']",43.7714,11.2542
['Florida'],-34.1,-56.2167
"['Flushing', 'New York City', 'Queens County', 'New York']",40.6943,-73.9249
"['Flädie', 'Malmöhus', 'Sweden']",43.1791,-77.9406
"['Fort Atkinson', 'Jefferson County', 'Wisconsin']",42.9253,-88.8442
"['Fort Bliss', 'El Paso County', 'Texas']",31.8396,-106.3747
"['Fort Collins', 'Larimer County', 'Colorado ']",-22.8378,-51.9728
"['Fort Douglas', 'Salt Lake City', 'Salt Lake County', 'Utah']",40.7776,-111.9311
"['Fort Garland', 'Costilla County', 'Colorado']",-22.8378,-51.9728
"['Fort Logan', 'Arapahoe County', 'Colorado']",-22.8378,-51.9728
"['Fort Madison', 'Lee County', 'Iowa']",40.6207,-91.3509
"['Fort Morgan', 'Baldwin County', 'Alabama']",40.2537,-103.7903
"['Fort Plain', 'Montgomery County', 'New York']",40.6943,-73.9249
"['Fourth Ward Schoolhouse', 'St. George', 'Washington County', 'Utah Territory']",37.0758,-113.5752
"['Framingham', 'Middlesex County', 'Massachusetts']",42.3085,-71.4368
"['Frankfort', 'Franklin County', 'Kentucky']",38.1924,-84.8643
"['Frankfort', 'Herkimer County', 'New York']",40.6943,-73.9249
"['Frankfurt', 'Germany']",50.1106,8.6822
"['Franklin', 'Norfolk County', 'Massachusetts']",42.0862,-71.4113
"['Franklin County', 'New York']",40.6943,-73.9249
"['Franklin Township', 'Henry County', 'Indiana']",40.622,-79.1552
"['Fredericton', 'York County', 'New Brunswick', 'British North America']",40.487,-74.445
"['Frederikshavn', 'Vendsyssel', 'Denmark']",57.441,10.534
"['Fredonia', 'Chautauqua County', 'New York']",40.6943,-73.9249
"['Freeport', 'Cumberland County', 'Maine']",43.8556,-70.1009
"['Fresno', 'Fresno County', 'California']",38.2969,-76.4949
"['Frisco', 'Beaver County', 'Utah']",33.156,-96.8216
"['Frisco', 'Beaver County', 'Utah Territory']",33.156,-96.8216
"['Fruita', 'Grand Junction Valley', 'Colorado ']",-22.8378,-51.9728
"['Galion', 'Crawford County', 'Ohio']",40.7385,-82.7792
"['Gallup', 'Bernalillo County', 'New Mexico Territory']",35.5182,-108.7431
"['Garden Grove', 'Unorganized County', 'Iowa']",33.7787,-117.9601
"['Garden of the Gods', 'Colorado Springs', 'El Paso County', 'Colorado']",-22.8378,-51.9728
"['Gardo House', 'Salt Lake City', 'Salt Lake County', 'Utah']",40.7776,-111.9311
"['Garfield', 'Salt Lake County', 'Utah Territory']",40.8791,-74.1085
"['Garland', 'Box Elder County', 'Utah']",32.91,-96.6304
"['Genesee County', 'New York']",40.6943,-73.9249
"['Germantown', 'Wayne County', 'Indiana']",40.622,-79.1552
"['Gibraltar', 'United Kingdom']",36.1333,-5.35
"['Girard College', 'Philadelphia', 'Philadelphia County', 'Pennsylvania']",40.0077,-75.1339
"['Gisborne', 'New Zealand']",-38.6625,178.0178
"['Glenwood', 'Sevier County', 'Utah']",41.541,-87.6118
"['Glenwood', 'Sevier County', 'Utah Territory']",41.541,-87.6118
"['Glenwood Springs', 'Garfield County', 'Colorado']",-22.8378,-51.9728
"['Goat Island', 'Niagara Falls', 'New York']",40.6943,-73.9249
"['Gold Creek', 'Deer Lodge County', 'Montana']",43.4075,23.2217
"['Golden Gate Bridge', 'San Francisco', 'San Francisco County', 'California']",38.2969,-76.4949
"['Golden Gate Park', 'San Francisco', 'San Francisco County', 'California']",38.2969,-76.4949
"['Golden Gate Strait', 'San Francisco', 'San Francisco County', 'California']",38.2969,-76.4949
"['Gothenburg', 'Västra Götaland County', 'Sweden']",43.1791,-77.9406
"['Gourock', 'Renfrewshire', 'Scotland']",55.9538,-4.8173
"['Grand Falls', 'Yavapai County', 'Arizona Territory']",48.9578,-55.6633
"['Grand Hotel', 'Sacramento', 'Sacramento County', 'California']",38.2969,-76.4949
"['Grand Junction Valley', 'Colorado']",-22.8378,-51.9728
"['Grand Rapids', 'Kent County', 'Michigan']",42.9619,-85.6562
"['Granger', 'Salt Lake County', 'Utah']",41.7374,-86.1348
"['Granger', 'Salt Lake County', 'Utah Territory']",41.7374,-86.1348
"['Granger', 'Sweetwater County', 'Wyoming Territory']",41.7374,-86.1348
"['Grantsville', 'Tooele County', 'Utah']",40.6148,-112.4777
"['Grantsville', 'Tooele County', 'Utah Territory']",40.6148,-112.4777
"['Grantsville Meeting House', 'Grantsville', 'Tooele County', 'Utah Territory']",40.6148,-112.4777
"['Grass Valley', 'Piute and Sevier Counties', 'Utah Territory']",39.2238,-121.0522
"['Grass Valley', 'Washington County', 'Utah Territory']",39.2238,-121.0522
['Greece'],43.246,-77.6988
"['Greeley', 'Weld County', 'Colorado']",-22.8378,-51.9728
"['Green Bay', 'Brown County', 'Wisconsin']",44.5148,-87.9895
"['Green Haven', 'Dutchess County', 'New York']",40.6943,-73.9249
"['Green River', 'Emery County', 'Utah Territory']",41.5127,-109.471
"['Green River', 'Sweetwater County', 'Wyoming Territory']",41.5127,-109.471
"['Green River', 'unorganized U.S. Territory']",41.5127,-109.471
