Name,Latitude,Longitude
"['Bennington', 'Oneida County', 'Idaho Territory']",42.8854,-73.2133
"['Bennington', 'Washington County', 'Utah Territory']",42.8854,-73.2133
"['Benson', 'Cache County', 'Utah']",:(,:(
"['Benson', 'Cache County', 'Utah Territory']",:(,:(
"['Benson Grist Mill', 'Tooele County', 'Utah Territory']",:(,:(
"['Benton County', 'Tennessee']",:(,:(
"['Bergenfield', 'Bergen County', 'New Jersey']",40.9236,-73.9982
"['Berlin', 'Brandenburg', 'Germany']",52.4167,12.5333
"['Berlin', 'Hartford County', 'Connecticut']",41.6114,-72.7758
"['Bern', 'Bear Lake County', 'Idaho']",46.9481,7.4475
"['Bern', 'Bear Lake County', 'Idaho Territory']",46.9481,7.4475
"['Bern', 'Switzerland']",46.9481,7.4475
"['Berrien County', 'Michigan']",:(,:(
"['Berryville', 'Clarke County', 'Virginia']",,
"['Bertrand Township', 'Berrien County', 'Michigan']",:(,:(
['Bethany'],,
"['Bethany', 'Brooke County', 'West Virginia']",,
"['Bethany', 'Harrison County', 'Missouri']",,
"['Bethlehem', 'Unorganized County', 'Iowa']",,
"['Beverly', 'Burlington County', 'New Jersey']",42.5681,-70.8627
"['Beverly', 'Essex County', 'Massachusetts']",42.5681,-70.8627
"['Big Bone Lick', 'Boone County', 'Kentucky']",:(,:(
"['Big Brush Creek', 'Utah Territory']",:(,:(
"['Big Brush Creek Cave', 'Utah Territory']",:(,:(
"['Big Bureau Creek', 'Bureau County', 'Illinois']",:(,:(
"['Big Cottonwood Canal', 'Great Salt Lake County', 'Utah Territory']",:(,:(
"['Big Cottonwood Canyon', 'Great Salt Lake County', 'Utah Territory']",:(,:(
"['Big Cottonwood Canyon', 'Salt Lake County', 'Utah']",:(,:(
"['Big Cottonwood Canyon', 'Salt Lake County', 'Utah Territory']",:(,:(
"['Big Cottonwood Creek', 'Great Salt Lake County', 'Utah Territory']",:(,:(
"['Big Cottonwood Creek', 'Salt Lake County', 'Utah Territory']",:(,:(
"['Big Creek', 'Rich County', 'Utah Territory']",:(,:(
"['Big Creek River', 'Oneida County', 'Idaho Territory']",:(,:(
"['Big Fishing River', 'Missouri']",:(,:(
"['Big Pigeon Creek', 'Pottawattamie County', 'Iowa']",:(,:(
"['Big Rock Creek', 'Kendall County', 'Illinois']",:(,:(
"['Big Sandy River', 'Henry County', 'Tennessee']",:(,:(
"['Big Sandy River', 'unorganized U.S. Territory']",:(,:(
"['Bingen am Rhein', 'Germany']",49.9667,7.9
"['Bingham', 'Salt Lake County', 'Utah Territory']",52.952,-0.953
"['Bingham Canyon', 'Great Salt Lake County', 'Utah Territory']",:(,:(
"['Bingham Canyon', 'Salt Lake County', 'Utah Territory']",:(,:(
"['Bingham County', 'Idaho']",:(,:(
"['Bingham County', 'Idaho Territory']",:(,:(
"['Birchwood', 'Warrington', 'England']",,
"['Birkenshaw', 'Yorkshire', 'England']",38.7882,-77.4496
"['Birmingham', 'Jefferson County', 'Alabama']",33.5279,-86.7971
"['Birmingham', 'Warwickshire', 'England']",,
"['Bishops Frome', 'Herefordshire', 'England']",:(,:(
"['Bitter Creek', 'unorganized U.S. Territory']",:(,:(
"['Bitter Springs', 'Coconino County', 'Arizona Territory']",:(,:(
"['Black Butte', 'Siskiyou County', 'California']",38.2969,-76.4949
"['Black Canyon', 'Montrose County', 'Colorado']",-22.8378,-51.9728
"['Black Falls', 'Yavapai County', 'Arizona Territory']",:(,:(
"['Black Hills', 'Nebraska Territory']",:(,:(
"['Black River', 'Wisconsin Territory']",18.0257,-77.8509
"['Black Rock', 'Buffalo County', 'New York']",40.6943,-73.9249
"['Black Rock', 'Millard County', 'Utah Territory']",:(,:(
"['Black Rock', 'Tooele County', 'Utah']",:(,:(
"['Black Rock', 'Tooele County', 'Utah Territory']",:(,:(
['Black Sea'],:(,:(
"['Blackberry Creek', 'Illinois']",:(,:(
"['Blackburn', 'Lancashire', 'England']",53.748,-2.482
"['Blackfish Lake', 'St. Francis County', 'Arkansas Territory']",:(,:(
"['Blackfoot', 'Bingham County', 'Idaho']",43.194,-112.3454
"['Blackfoot', 'Bingham County', 'Idaho Territory']",43.194,-112.3454
"['Blackfoot River', 'Oneida County', 'Idaho Territory']",:(,:(
"['Blacks Fork', 'Utah Territory']",:(,:(
"['Blacks Fork', 'unorganized U.S. Territory']",:(,:(
"['Blendon Township', 'Franklin County', 'Ohio']",:(,:(
"['Blinkwater', 'South Africa']",:(,:(
"['Blood River', 'Calloway County', 'Kentucky']",:(,:(
"['Blood River', 'Henry County', 'Tennessee']",:(,:(
"['Bloomfield', 'Davis County', 'Iowa']",,
"['Bloomfield', 'Essex County', 'New Jersey']",40.8098,-74.1869
"['Bloomfield', 'Ontario County', 'New York']",40.6943,-73.9249
"['Bloomfield', 'Stoddard County', 'Missouri']",,
"['Bloomington', 'Bear Lake County', 'Idaho']",,
"['Bloomington', 'Bear Lake County', 'Idaho Territory']",,
"['Bloomington', 'Oneida County', 'Idaho Territory']",,
"['Bloomington', 'Washington County', 'Utah Territory']",,
"['Blountsville', 'Blount County', 'Alabama']",:(,:(
"['Blue Creek', 'Box Elder County', 'Utah']",:(,:(
"['Blue River', 'Jackson County', 'Missouri']",:(,:(
