Internal ID,Name,Address,State or Province,County,City,Specific Place,Modern Location,Visited,Mentioned Only,Website URL,Latitude,Longitude
33839,"Iona, Bingham County, Idaho Territory",,Idaho Territory,Bingham County,Iona,,"Iona, Bonneville County, Idaho",,,https://wilfordwoodruffpapers.org/subjects/iona-bingham-county-idaho-territory,28.05,81.6167
33876,"Mumford, Monroe County, New York",,New York,Monroe County,Mumford,,"Mumford, Monroe County, New York",,,https://wilfordwoodruffpapers.org/subjects/mumford-monroe-county-new-york,27.6061,83.6606
33953,"Apia, Samoa",,,,Apia,,"Apia, Samoa",,,https://wilfordwoodruffpapers.org/subjects/apia-samoa,52.0333,76.9167
33964,"Chalford, Gloucestershire, England",,,Gloucestershire,Chalford,,"Chalford, Gloucestershire, England",,,https://wilfordwoodruffpapers.org/subjects/chalford-gloucestershire-england,31.4478,35.09
33980,"Fish Creek, Utah Territory",,,,,,,,,https://wilfordwoodruffpapers.org/subjects/fish-creek-utah-territory,27.5,83.45
33989,Hiram Clarke,,,,,,,,,https://wilfordwoodruffpapers.org/subjects/hiram-clarke,32.3117,35.0272
34012,"Leominster, Herefordshire, England",,,Herefordshire,Leominster,,"Leominster, Herefordshire, England",,,https://wilfordwoodruffpapers.org/subjects/leominster-herefordshire-england,47.9,67.5333
34025,"Old Swinford, Worcestershire, England",,,Worcestershire,Old Swinford,,,,,https://wilfordwoodruffpapers.org/subjects/old-swinford-worcestershire-england,43.8833,77.0833
34043,"St. Hilary, Cornwall, England",,,Cornwall,St. Hilary,,"St. Hilary, Cornwall, England",,,https://wilfordwoodruffpapers.org/subjects/st-hilary-cornwall-england,43.2,76.62
34058,"Trowbridge, Wiltshire, England",,,Wiltshire,Trowbridge,,"Trowbridge, Wiltshire, England",,,https://wilfordwoodruffpapers.org/subjects/trowbridge-wiltshire-england,28.5278,81.1189
34060,"Tutuila, Samoa",,,,,,,,,https://wilfordwoodruffpapers.org/subjects/tutuila-samoa,28.2056,81.3472
34061,"Upolu, Samoa",,,,,,,,,https://wilfordwoodruffpapers.org/subjects/upolu-samoa,28.1278,82.2956
34063,"Wasatch Mountains, United States",,,,,Wasatch Mountains,"Wasatch Mountains, Utah",,,https://wilfordwoodruffpapers.org/subjects/wasatch-mountains-united-states,50.35,83.5167
34071,"Worthington, Franklin County, Ohio",,Ohio,Franklin County,Worthington,,"Worthington, Franklin County, Ohio",,,https://wilfordwoodruffpapers.org/subjects/worthington-franklin-county-ohio,49.7453,84.2548
34072,"Yarmouth, Barnstable County, Massachusetts",,Massachusetts,Barnstable County,Yarmouth,,"Yarmouth, Barnstable County, Massachusetts",,,https://wilfordwoodruffpapers.org/subjects/yarmouth-barnstable-county-massachusetts,43.3,77.2333
34085,"Whalley Abbey, Whalley, Lancashire, England",,,Lancashire,Whalley,Whalley Abbey,"Whalley Abbey, Whalley, Lancashire, England",,,https://wilfordwoodruffpapers.org/subjects/whalley-abbey-whalley-lancashire-england,52.3497,71.89
34088,"Fort Douglas, Salt Lake City, Salt Lake County, Utah",,Utah,,,,,,,https://wilfordwoodruffpapers.org/subjects/fort-douglas-salt-lake-city-salt-lake-county-utah,42.5167,69.8
34105,"Auckland, New Zealand",,,,,,,,,https://wilfordwoodruffpapers.org/subjects/auckland-new-zealand,52.9333,70.2
34107,"Daysville, Oswego County, New York",,New York,Oswego County,Daysville,,"Daysville, Oswego County, New York",,,https://wilfordwoodruffpapers.org/subjects/daysville-oswego-county-new-york,44.1667,80.0
34146,"Franklin County, New York",,New York,Franklin County,,,"Franklin County, New York",,,https://wilfordwoodruffpapers.org/subjects/franklin-county-new-york,27.0333,85.0
34147,"Marsh Valley, Bingham County, Idaho Territory",,Idaho Territory,,,Marsh Valley,"Marsh Valley, Bannock County, Idaho",,,https://wilfordwoodruffpapers.org/subjects/marsh-valley-bingham-county-idaho-territory,43.5983,73.7614
34148,"Pocatello, Bingham County, Idaho ",,Idaho,Bingham County,,,,,,https://wilfordwoodruffpapers.org/subjects/pocatello-bingham-county-idaho,49.7833,72.85
34151,"Snake River, Idaho",,Idaho,,,,,,,https://wilfordwoodruffpapers.org/subjects/snake-river-idaho,47.9667,80.4333
34212,"Cullen, Weakley County, Tennessee",,Tennessee,Weakley County,Cullon,,no longer exists,,,https://wilfordwoodruffpapers.org/subjects/cullen-weakley-county-tennessee,42.4333,68.8
34213,"Cypress Creek, Benton County, Tennessee",,,Benton County,,,,,,https://wilfordwoodruffpapers.org/subjects/cypress-creek-benton-county-tennessee,45.3247,55.1958
34220,"Palermo, Oswego County, New York",,New York,Oswego County,Palermo,,"Palermo, Oswego County, New York",,,https://wilfordwoodruffpapers.org/subjects/palermo-oswego-county-new-york,32.4611,35.3
34224,"Umatilla, Umatilla County, Oregon",,Oregon,Umatilla County,Umatilla,,"Umatilla, Umatilla County, Oregon",,,https://wilfordwoodruffpapers.org/subjects/umatilla-umatilla-county-oregon,31.9,35.2
34227,"Somerville, Fayette County, Tennessee",,Tennessee,Fayette County,Somerville,,"Somerville, Fayette County, Tennessee",,,https://wilfordwoodruffpapers.org/subjects/somerville-fayette-county-tennessee,45.6167,63.3167
34240,"Thistle, Utah County, Utah Territory",,Utah Territory,Utah County,Thistle,,ghost town in Spanish Fork Canyon,,,https://wilfordwoodruffpapers.org/subjects/thistle-utah-county-utah-territory,31.4078,34.9722
34273,"Rio Virgin County, Utah Territory",,,,,,,,,https://wilfordwoodruffpapers.org/subjects/rio-virgin-county-utah-territory,26.5394,86.7483
34285,"Kiona, Yakima County, Washington",,Washington,Yakima County,Kiona,,"Kiona, Benton County, Washington",,,https://wilfordwoodruffpapers.org/subjects/kiona-yakima-county-washington,49.71,72.5872
34329,"Muddy River Valley, Utah Territory",,Utah Territory,,,Muddy River Valley,"Moapa Valley, Clark County, Nevada",,,https://wilfordwoodruffpapers.org/subjects/muddy-river-valley-utah-territory,46.9833,54.0167
34330,"Las Vegas, Carson County, Utah Territory",,Utah Territory,Carson County,,,,,,https://wilfordwoodruffpapers.org/subjects/las-vegas-carson-county-utah-territory,43.35,77.4667
34366,Tonga,,,,,,Tonga,,,https://wilfordwoodruffpapers.org/subjects/tonga,40.7753,68.3272
34371,"Mobile, Mobile County, Alabama",,Alabama,Mobile County,Mobile,,"Mobile, Mobile County, Alabama",,,https://wilfordwoodruffpapers.org/subjects/mobile-mobile-county-alabama,-21.0339,55.7128
